Symbol,MarketCap,MarketCapFormatted
ONDS,2645469696,$2.65B
TOWN,2622152704,$2.62B
WB,2617642496,$2.62B
RELY,2610983680,$2.61B
FRPT,2608317440,$2.61B
SFNC,2596233728,$2.60B
GSHD,2586124032,$2.59B
SUPN,2580270848,$2.58B
CVBF,2580219136,$2.58B
APLS,2572257536,$2.57B
ACLS,2561148416,$2.56B
DNLI,2557782528,$2.56B
SYNA,2549530624,$2.55B
AGIO,2545398016,$2.55B
ALRM,2514434560,$2.51B
MGRC,2503005696,$2.50B
COCO,2497180928,$2.50B
MRX,2486911744,$2.49B
BATRA,2486209792,$2.49B
BATRK,2482122496,$2.48B
BTDR,2463581440,$2.46B
FORTY,2458487552,$2.46B
ZLAB,2456235008,$2.46B
CHEF,2422434304,$2.42B
SPNS,2414907392,$2.41B
EWTX,2408506880,$2.41B
OCUL,2407436544,$2.41B
WAFD,2397978112,$2.40B
PLUS,2393511424,$2.39B
FFBC,2383433216,$2.38B
QUBT,2373704704,$2.37B
EXTR,2360131072,$2.36B
VNET,2356679168,$2.36B
PAX,2352620032,$2.35B
DRVN,2351695360,$2.35B
PINC,2330874112,$2.33B
ODD,2329856512,$2.33B
TRMD,2310007808,$2.31B
TRMK,2307193600,$2.31B
AVDL,2300791040,$2.30B
FA,2296576256,$2.30B
CAKE,2284692992,$2.28B
PTEN,2267867136,$2.27B
RXRX,2257067776,$2.26B
CSIQ,2248928256,$2.25B
CSGS,2238548736,$2.24B
GPCR,2234150656,$2.23B
CNXC,2231918848,$2.23B
UPWK,2224965632,$2.22B
SOXX,2207177984,$2.21B
BEAM,2204035840,$2.20B
XRAY,2185094144,$2.19B
MQ,2182892288,$2.18B
SEDG,2178520064,$2.18B
SBLK,2176509696,$2.18B
GT,2171961344,$2.17B
SBET,2162651392,$2.16B
ADPT,2158685952,$2.16B
NBTB,2154859520,$2.15B
OSW,2154253824,$2.15B
ALKT,2150481920,$2.15B
GCMG,2149120000,$2.15B
ACMR,2117567360,$2.12B
PGNY,2116496128,$2.12B
FBNC,2112658432,$2.11B
BANR,2097307136,$2.10B
FRME,2095578880,$2.10B
DIOD,2085935872,$2.09B
SLDE,2083097088,$2.08B
TXG,2070445440,$2.07B
GLPG,2066850048,$2.07B
ADUS,2047576832,$2.05B
BUSE,2047553408,$2.05B
MGNI,2045554688,$2.05B
TERN,2032199936,$2.03B
AUPH,2023752704,$2.02B
VCEL,2015880576,$2.02B
PRDO,2008145664,$2.01B
SONO,2004194944,$2.00B
BWIN,1990188160,$1.99B
PAYO,1985372544,$1.99B
SGRY,1980870784,$1.98B
NTCT,1979550464,$1.98B
EFSC,1978973312,$1.98B
SYBT,1974130304,$1.97B
SKWD,1973758976,$1.97B
SMPL,1972192512,$1.97B
USAR,1971723776,$1.97B
PENN,1971424512,$1.97B
SRPT,1971046912,$1.97B
MESO,1936967424,$1.94B
POWI,1922931584,$1.92B
RUM,1922534272,$1.92B
ZBIO,1914199040,$1.91B
ANIP,1898838144,$1.90B
STRA,1893960960,$1.89B
QURE,1889929088,$1.89B
ESTA,1881496960,$1.88B
PGY,1881264896,$1.88B
EYE,1879636608,$1.88B
NVTS,1863304448,$1.86B
CENT,1850149632,$1.85B
CENTA,1850149504,$1.85B
BGM,1841722368,$1.84B
SYRE,1823415040,$1.82B
PAHC,1815071872,$1.82B
PRGS,1814990336,$1.81B
VERA,1813639168,$1.81B
UFPT,1810308864,$1.81B
TWST,1804791808,$1.80B
BELFB,1804746752,$1.80B
BELFA,1802222080,$1.80B
SEZL,1800551424,$1.80B
AVAH,1781994368,$1.78B
TIGR,1776947712,$1.78B
CECO,1763874688,$1.76B
VECO,1762761600,$1.76B
MCRI,1753466624,$1.75B
DNTH,1751485184,$1.75B
ATRO,1749027840,$1.75B
TRIP,1748948736,$1.75B
ROCK,1747448448,$1.75B
ENVX,1743793280,$1.74B
CHCO,1738979968,$1.74B
EXPI,1729717248,$1.73B
ALVO,1720038400,$1.72B
NWBI,1719596672,$1.72B
PGEN,1716048896,$1.72B
NN,1708284544,$1.71B
MCW,1708236928,$1.71B
TRUP,1701575808,$1.70B
PRCT,1700972544,$1.70B
CLDX,1697783936,$1.70B
NNE,1692913408,$1.69B
FLYW,1690236800,$1.69B
WBTN,1677723648,$1.68B
ANDE,1667591936,$1.67B
REAL,1665028864,$1.67B
CMPR,1662595840,$1.66B
PWP,1661165696,$1.66B
WEN,1657859456,$1.66B
PCT,1656022656,$1.66B
DJTWW,1654153600,$1.65B
NEGG,1653213696,$1.65B
SION,1651265152,$1.65B
BLBD,1645642240,$1.65B
ATRC,1635688960,$1.64B
CLMT,1619703168,$1.62B
ALM,1609063936,$1.61B
NEXT,1604696576,$1.60B
FIVN,1601082624,$1.60B
OMCL,1594447104,$1.59B
CCB,1585464448,$1.59B
PLTK,1575673856,$1.58B
PHVS,1574579200,$1.57B
CLBK,1570959104,$1.57B
CASH,1568119168,$1.57B
EVCM,1562234752,$1.56B
MNKD,1555309440,$1.56B
BITF,1547878272,$1.55B
UNIT,1546083456,$1.55B
NYAX,1536946176,$1.54B
AMSC,1532284032,$1.53B
TILE,1518154752,$1.52B
STOK,1514175744,$1.51B
SUPX,1514144256,$1.51B
QDEL,1504606464,$1.50B
WINA,1503755264,$1.50B
SRCE,1503465344,$1.50B
ATAI,1499976832,$1.50B
BCRX,1490646016,$1.49B
CNXN,1489215744,$1.49B
TCBK,1487082880,$1.49B
NUKKW,1484317568,$1.48B
GABC,1482813696,$1.48B
STBA,1474241792,$1.47B
WERN,1473613952,$1.47B
ARCB,1471980544,$1.47B
GEMI,1468270720,$1.47B
AAOI,1465627776,$1.47B
COLL,1465161088,$1.47B
VITL,1462804096,$1.46B
ACHC,1453436416,$1.45B
AMPL,1447821184,$1.45B
SNDX,1447565824,$1.45B
OXLC,1445852800,$1.45B
NSSC,1439768320,$1.44B
ADEA,1437845760,$1.44B
NWL,1433664000,$1.43B
DGII,1429572736,$1.43B
ARDX,1423829504,$1.42B
DXPE,1422268416,$1.42B
PIII,1422010368,$1.42B
WLDN,1414071168,$1.41B
NESR,1406842112,$1.41B
SHLS,1405225856,$1.41B
TRVI,1395562752,$1.40B
AMLX,1393610240,$1.39B
ZYME,1393205248,$1.39B
NEOG,1388538240,$1.39B
METCB,1385110528,$1.39B
METC,1379344896,$1.38B
AZTA,1369691008,$1.37B
OUST,1350117376,$1.35B
PZZA,1347644928,$1.35B
QQQX,1344201344,$1.34B
PSIX,1343171712,$1.34B
CERT,1339489024,$1.34B
NEO,1337869824,$1.34B
PSNYW,1327524480,$1.33B
PSNY,1327524352,$1.33B
AFYA,1326040960,$1.33B
UPB,1325566720,$1.33B
QCRH,1319476736,$1.32B
ORKA,1310921984,$1.31B
DVAX,1310462720,$1.31B
VMEO,1310347392,$1.31B
ELVN,1309795200,$1.31B
RBCAA,1307831424,$1.31B
PSEC,1306765184,$1.31B
STAA,1299311872,$1.30B
NRIX,1297526144,$1.30B
ARHS,1292836480,$1.29B
TLRY,1280693760,$1.28B
MVST,1276631296,$1.28B
ROOT,1274836480,$1.27B
NVCR,1274354944,$1.27B
CLOV,1273616640,$1.27B
TRS,1269770752,$1.27B
PLAB,1268578304,$1.27B
DSGR,1268162944,$1.27B
SDGR,1266315008,$1.27B
AHCO,1263508864,$1.26B
TNDM,1261801984,$1.26B
ARRY,1249476736,$1.25B
SSII,1249144704,$1.25B
VRNT,1230676480,$1.23B
BFC,1227016192,$1.23B
ZD,1223885568,$1.22B
STGW,1220252288,$1.22B
CNOB,1219625088,$1.22B
MGIC,1218415488,$1.22B
ALGT,1218035840,$1.22B
CCEC,1216504960,$1.22B
MXL,1214482304,$1.21B
AMPH,1211758848,$1.21B
BLFS,1211448448,$1.21B
OPRA,1206662784,$1.21B
TBLA,1206277888,$1.21B
OCSL,1205447936,$1.21B
XERS,1204610304,$1.20B
OMDA,1202750080,$1.20B
WABC,1198902016,$1.20B
CSWC,1198471936,$1.20B
BBNX,1196589568,$1.20B
CVAC,1193415680,$1.19B
CRAI,1193129984,$1.19B
MRVI,1192408448,$1.19B
DCOM,1191731456,$1.19B
GIII,1190890368,$1.19B
ORIC,1189756544,$1.19B
NAVI,1189581824,$1.19B
WVE,1183647104,$1.18B
RAPP,1175800320,$1.18B
GCT,1159865472,$1.16B
DHC,1156289664,$1.16B
SLDP,1155692672,$1.16B
NKTR,1152961152,$1.15B
PHAR,1151733120,$1.15B
SAFT,1150565632,$1.15B
DMLP,1149449088,$1.15B
NVAX,1147242880,$1.15B
MNMD,1145662976,$1.15B
NNNN,1142049024,$1.14B
PPH,1141536384,$1.14B
SBGI,1139338368,$1.14B
EVLV,1137935872,$1.14B
OCS,1133015424,$1.13B
CRTO,1132979840,$1.13B
TSHA,1131287040,$1.13B
XPEL,1128187648,$1.13B
EH,1125123328,$1.13B
PFBC,1120576512,$1.12B
URGN,1119668736,$1.12B
RLAY,1117929344,$1.12B
TRIN,1117843200,$1.12B
MFIC,1116844416,$1.12B
MBX,1113128192,$1.11B
AXGN,1108779776,$1.11B
ECPG,1106039296,$1.11B
UCTT,1105149952,$1.11B
ABCL,1104546304,$1.10B
GO,1104043904,$1.10B
EVO,1103830656,$1.10B
THRM,1103491200,$1.10B
MDXG,1103332992,$1.10B
MOMO,1103330560,$1.10B
TNGX,1099633024,$1.10B
ASTH,1098909440,$1.10B
PRCH,1074787840,$1.07B
CRML,1071110016,$1.07B
XNCR,1066158400,$1.07B
TASK,1066029952,$1.07B
SANA,1062800768,$1.06B
EZPW,1059526208,$1.06B
PHAT,1056405824,$1.06B
BBOT,1049451584,$1.05B
COHU,1046381568,$1.05B
GDRX,1042059328,$1.04B
SEPN,1041671552,$1.04B
PEBO,1037528128,$1.04B
NRDS,1036163456,$1.04B
FWRG,1035714752,$1.04B
OCFC,1035290112,$1.04B
PCRX,1023045952,$1.02B
NBTX,1021499584,$1.02B
MLKN,1016759296,$1.02B
NTLA,1007720320,$1.01B
PLPC,1004197312,$1.00B
ASTE,1001504640,$1.00B
PENG,999041408,$999.04M
CSTL,996512832,$996.51M
RDWR,994596288,$994.60M
PDFS,992565184,$992.57M
PVLA,990950976,$990.95M
UPBD,985553408,$985.55M
